date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
11_17_2021,1,Cash,100.0,–,–,Cash,"74,737,537","74,737,537",0
11_17_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,177",0,"74,496,940"
11_18_2021,1,Cash,100.0,–,–,Cash,"77,691,854","77,691,854",0
11_18_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,222",0,"77,481,140"
11_19_2021,1,Cash,100.0,–,–,Cash,"79,503,208","79,503,208",0
11_19_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,289",0,"79,313,850"
11_22_2021,1,Cash,100.0,–,–,Cash,"80,149,555","80,149,555",0
11_22_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,311",0,"79,960,600"
11_23_2021,1,Cash,100.0,–,–,Cash,"82,109,557","82,109,557",0
11_23_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,401",0,"81,970,140"
11_24_2021,1,Cash,100.0,–,–,Cash,"71,014,435","71,014,435",0
11_24_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,401",0,"70,877,520"
11_26_2021,1,Cash,100.0,–,–,Cash,"76,868,755","76,868,755",0
11_26_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,511",0,"76,711,050"
11_29_2021,1,Cash,100.0,–,–,Cash,"81,288,260","81,288,260",0
11_29_2021,2,CA CARBON ALLOW 21DEC21,0.0,ZCAZ21,–,Future,"2,555",0,"81,121,250"
11_30_2021,1,Cash,100.0,–,–,Cash,"79,434,936","79,434,936",0
11_30_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"2,555",0,"84,315,000"
12_01_2021,1,Cash,100.0,–,–,Cash,"81,194,587","81,194,587",0
12_01_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"2,555",0,"82,092,150"
12_02_2021,1,Cash,100.0,–,–,Cash,"72,659,398","72,659,398",0
12_02_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"2,555",0,"73,558,450"
12_03_2021,1,Cash,100.0,–,–,Cash,"77,371,557","77,371,557",0
12_03_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"2,810",0,"82,080,100"
12_06_2021,1,Cash,100.0,–,–,Cash,"81,320,904","81,320,904",0
12_06_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"2,810",0,"85,424,000"
12_07_2021,1,Cash,100.0,–,–,Cash,"96,437,559","96,437,559",0
12_07_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,147",0,"99,980,190"
12_08_2021,1,Cash,100.0,–,–,Cash,"103,046,177","103,046,177",0
12_08_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,207",0,"106,536,540"
12_09_2021,1,Cash,100.0,–,–,Cash,"104,811,053","104,811,053",0
12_09_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,357",0,"108,431,100"
12_10_2021,1,Cash,100.0,–,–,Cash,"104,629,884","104,629,884",0
12_10_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,357",0,"107,591,850"
12_13_2021,1,Cash,100.0,–,–,Cash,"100,695,508","100,695,508",0
12_13_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,357",0,"103,664,160"
12_14_2021,1,Cash,100.0,–,–,Cash,"100,093,282","100,093,282",0
12_14_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,417",0,"102,988,380"
12_15_2021,1,Cash,100.0,–,–,Cash,"104,117,895","104,117,895",0
12_15_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,417",0,"107,020,440"
12_16_2021,1,Cash,100.0,–,–,Cash,"104,012,531","104,012,531",0
12_16_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,432",0,"106,735,200"
12_17_2021,1,Cash,100.0,–,–,Cash,"102,206,471","102,206,471",0
12_17_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,447",0,"104,754,330"
12_20_2021,1,Cash,100.0,–,–,Cash,"102,937,057","102,937,057",0
12_20_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,447",0,"104,857,740"
12_21_2021,1,Cash,100.0,–,–,Cash,"105,407,055","105,407,055",0
12_21_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,447",0,"106,684,650"
12_22_2021,1,Cash,100.0,–,–,Cash,"110,656,153","110,656,153",0
12_22_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"110,855,840"
12_23_2021,1,Cash,100.0,–,–,Cash,"111,030,990","111,030,990",0
12_23_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"111,242,710"
12_27_2021,1,Cash,100.0,–,–,Cash,"112,744,800","112,744,800",0
12_27_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"112,966,040"
12_28_2021,1,Cash,100.0,–,–,Cash,"114,219,524","114,219,524",0
12_28_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"114,443,180"
12_29_2021,1,Cash,100.0,–,–,Cash,"115,764,555","115,764,555",0
12_29_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"115,990,660"
12_30_2021,1,Cash,100.0,–,–,Cash,"116,711,664","116,711,664",0
12_30_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"116,940,250"
12_30_2021,1,Cash,100.0,–,–,Cash,"116,711,664","116,711,664",0
12_30_2021,2,CA CARBON ALLOW 21DEC22,0.0,ZCAZ22,–,Future,"3,517",0,"116,940,250"
